,name_origen,name_destino,COMARCA_origen,COMARCA_destino,cat,WORK,FREQUENT,viajes,car,transit,walk,viajes_km,car_km,transit_km,walk_km
87,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,>25,0,0,10.965,9.32025,1.6447500000000002,0.0,284.401,241.74085000000002,42.66015,0.0
88,Aia AM,Errenteria,UROLA_KOSTA,DONOSTIALDEA,>25,0,1,7.055,5.9967500000000005,1.05825,0.0,184.486,156.81310000000002,27.6729,0.0
89,Aia AM,Eskoriatza AM,UROLA_KOSTA,ALTO_DEBA,>25,0,0,8.632,7.3372,1.2948,0.0,348.661,296.36185,52.29915,0.0
90,Aia AM,Eskoriatza AM,UROLA_KOSTA,ALTO_DEBA,>25,0,1,14.628,12.4338,2.1941999999999995,0.0,565.6220000000001,480.7787,84.8433,0.0
91,Aia AM,Eskoriatza AM,UROLA_KOSTA,ALTO_DEBA,>25,1,0,3.443,2.92655,0.51645,0.0,155.256,131.96759999999998,23.2884,0.0
92,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<2,0,1,36.076,3.6076000000000006,3.6076000000000006,28.860800000000005,52.634,5.2634,5.2634,42.1072
93,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<2,1,0,5.016,0.5016,0.5016,4.0128,9.128,0.9128000000000002,0.9128000000000002,7.302400000000001
94,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<2,1,1,7.864,0.7864,0.7864,6.2912,9.082,0.9082,0.9082,7.2656
95,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<25,0,0,273.148,191.2036,81.9444,0.0,1784.526,1249.1682,535.3578,0.0
96,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<25,0,1,1700.404,1190.2828,510.1212,0.0,10368.032,7257.6224,3110.4096,0.0
97,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<25,1,0,337.759,236.4313,101.3277,0.0,2126.155,1488.3084999999999,637.8465,0.0
98,Aia AM,Getaria,UROLA_KOSTA,UROLA_KOSTA,<25,1,1,184.314,129.0198,55.2942,0.0,1125.751,788.0256999999999,337.7253,0.0
99,Aia AM,Hernani,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,156.907,109.83489999999999,47.0721,0.0,2066.572,1446.6004,619.9716,0.0
100,Aia AM,Hernani,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,504.392,353.07439999999997,151.3176,0.0,6611.084,4627.7588,1983.3252,0.0
101,Aia AM,Hernani,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,442.598,309.8186,132.7794,0.0,5795.038,4056.5265999999997,1738.5113999999999,0.0
102,Aia AM,Hernani,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,54.107,37.874900000000004,16.2321,0.0,700.99,490.693,210.297,0.0
103,Aia AM,Hondarribia,UROLA_KOSTA,BAJO_BIDASOA,<25,0,1,5.4,3.78,1.62,0.0,133.557,93.48989999999998,40.0671,0.0
104,Aia AM,Hondarribia,UROLA_KOSTA,BAJO_BIDASOA,>25,0,0,64.15700000000001,54.53345,9.62355,0.0,2001.239,1701.05315,300.18584999999996,0.0
105,Aia AM,Hondarribia,UROLA_KOSTA,BAJO_BIDASOA,>25,0,1,88.726,75.4171,13.3089,0.0,2672.087,2271.27395,400.81305,0.0
106,Aia AM,Hondarribia,UROLA_KOSTA,BAJO_BIDASOA,>25,1,0,42.213,35.88105,6.33195,0.0,1267.873,1077.69205,190.18095,0.0
107,Aia AM,Hondarribia,UROLA_KOSTA,BAJO_BIDASOA,>25,1,1,3.968,3.3728,0.5952,0.0,111.178,94.5013,16.6767,0.0
108,Aia AM,Ibarra,UROLA_KOSTA,TOLOSALDEA,<25,0,0,70.612,49.428399999999996,21.1836,0.0,678.301,474.8107,203.4903,0.0
109,Aia AM,Ibarra,UROLA_KOSTA,TOLOSALDEA,<25,0,1,288.576,202.0032,86.5728,0.0,2551.044,1785.7308,765.3131999999999,0.0
110,Aia AM,Ibarra,UROLA_KOSTA,TOLOSALDEA,<25,1,0,79.129,55.390299999999996,23.738699999999998,0.0,698.162,488.7134,209.4486,0.0
111,Aia AM,Ibarra,UROLA_KOSTA,TOLOSALDEA,<25,1,1,26.092,18.2644,7.8276,0.0,232.66099999999997,162.8627,69.7983,0.0
112,Aia AM,Idiazabal AM,UROLA_KOSTA,GOIERRI,<25,0,0,6.878,4.8146,2.0634,0.0,153.976,107.78320000000001,46.1928,0.0
113,Aia AM,Idiazabal AM,UROLA_KOSTA,GOIERRI,<25,0,1,18.998,13.2986,5.6994,0.0,433.998,303.79859999999996,130.1994,0.0
114,Aia AM,Idiazabal AM,UROLA_KOSTA,GOIERRI,<25,1,0,16.807000000000002,11.764899999999999,5.0421,0.0,356.38,249.46599999999998,106.91399999999999,0.0
115,Aia AM,Idiazabal AM,UROLA_KOSTA,GOIERRI,>25,0,0,10.815000000000001,9.19275,1.6222499999999997,0.0,300.414,255.3519,45.0621,0.0
116,Aia AM,Idiazabal AM,UROLA_KOSTA,GOIERRI,>25,0,1,3.279,2.78715,0.4918499999999999,0.0,83.806,71.2351,12.5709,0.0
117,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,<25,0,1,8.418,5.8926,2.5254,0.0,199.958,139.9706,59.987399999999994,0.0
118,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,<25,1,0,5.172,3.6204,1.5516,0.0,124.942,87.45939999999999,37.4826,0.0
119,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,<25,1,1,9.266,6.4862,2.7798,0.0,223.32999999999998,156.331,66.999,0.0
120,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,>25,0,0,95.193,80.91405,14.27895,0.0,2854.377,2426.22045,428.15655,0.0
121,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,>25,0,1,192.576,163.68959999999998,28.8864,0.0,5569.03,4733.675499999999,835.3545,0.0
122,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,>25,1,0,95.887,81.50395,14.383049999999999,0.0,2891.983,2458.18555,433.79744999999997,0.0
